Alert ID,Source IP,Target URL,HTTP Parameters,User-Agent,Status Code,Source IP Geolocation,Attack Type Subset,Number of Source IPs,Number of Browsers,Incident Duration,Label,Reason,Hour,Day of Week,Alert Type_LFI,Alert Type_RCE,Alert Type_SQLi,Alert Type_XSS,Rule Triggered_Rule_1,Rule Triggered_Rule_2,Rule Triggered_Rule_3
ALERT_10,189.201.210.134,http://miller.org/,Study region race leader thank tell boy.,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1),500,French Polynesia,Stored XSS,9,3,52,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_11,117.150.243.32,https://hernandez.com/,Quickly process beautiful candidate trial us.,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/5763-12-09 01:07:13 Firefox/3.8,200,Morocco,Stored XSS,6,3,52,TP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_12,208.178.82.24,https://taylor.com/,Leg bring across always start.,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/11.7d2054.0 Mobile/25B107 Safari/532.0",403,Falkland Islands (Malvinas),Stored XSS,3,1,29,FP,Special music usually politics apply compare.,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_13,179.189.20.186,https://www.strickland.org/,History student power perhaps.,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_5 rv:6.0; sv-FI) AppleWebKit/534.19.1 (KHTML, like Gecko) Version/4.0 Safari/534.19.1",404,Aruba,Blind SQLi,9,1,42,TP,Sign put research candidate support yard later.,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_14,13.199.96.95,https://www.johnson-gray.com/,Why serious perhaps.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.1),403,Congo,Blind SQLi,4,4,43,FP,Of rule far continue.,0,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_15,195.84.162.210,https://www.montgomery.com/,Sort before scientist oil seek reveal.,Opera/9.73.(X11; Linux x86_64; doi-IN) Presto/2.9.186 Version/11.00,403,Tonga,Blind SQLi,6,1,8,FP,This college technology.,0,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_16,148.42.206.65,http://www.willis-hernandez.com/,Into interesting fear.,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_9) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/61.0.831.0 Safari/533.2",200,Romania,Stored XSS,2,4,57,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_17,49.37.39.81,http://www.robinson.org/,Of low tonight more eight under show.,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/51.0.853.0 Safari/535.2",404,Iran,Stored XSS,6,1,5,FP,,0,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_18,182.88.198.52,https://www.king.com/,Serious age would sit.,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/38.0.835.0 Safari/535.1",403,Nicaragua,Stored XSS,5,1,26,TP,,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_19,182.141.123.38,http://thompson.com/,Lose read bed this both will bring drive.,Opera/8.14.(X11; Linux i686; dv-MV) Presto/2.9.181 Version/10.00,404,Guatemala,Stored XSS,4,2,40,FP,,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_20,128.240.58.82,http://www.hebert-fisher.com/,Great agency election mission.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0),403,Nauru,Stored XSS,9,1,12,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_21,105.37.179.97,http://ballard.com/,Body address technology least.,Opera/8.65.(X11; Linux i686; ayc-PE) Presto/2.9.190 Version/12.00,404,Switzerland,Stored XSS,9,4,32,TP,Eye report either away than newspaper.,0,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_22,114.199.81.45,http://carter.com/,Station deep large spend budget.,Opera/8.56.(X11; Linux i686; nl-NL) Presto/2.9.166 Version/11.00,404,Honduras,Stored XSS,5,2,41,FP,Provide power though public song all cost.,0,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ALERT_23,125.167.181.235,https://www.reynolds-pugh.biz/,Suggest no life central dream type.,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1; rv:1.9.3.20) Gecko/8248-12-18 15:22:50 Firefox/3.8,200,Czech Republic,Stored XSS,4,3,25,FP,,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_24,33.243.151.183,http://www.zuniga-espinoza.org/,Wall including loss store black.,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/7896-11-08 22:30:54 Firefox/3.8,200,Afghanistan,Stored XSS,2,1,14,TP,,0,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALERT_25,135.17.94.12,http://reese-schultz.biz/,Range future prepare area.,"Mozilla/5.0 (iPad; CPU iPad OS 4_3_5 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/60.0.887.0 Mobile/01M457 Safari/535.1",200,Taiwan,Blind SQLi,5,2,32,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_26,42.8.65.107,https://tucker.org/,Break staff much important style.,Opera/8.58.(Windows NT 6.1; oc-FR) Presto/2.9.177 Version/12.00,403,Greenland,Blind SQLi,8,3,5,FP,,0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALERT_27,35.153.253.125,https://www.herman.com/,Finish also hit court whose.,Opera/8.71.(Windows NT 5.1; ky-KG) Presto/2.9.180 Version/11.00,500,Moldova,Blind SQLi,3,4,23,TP,Offer artist light too clearly floor that.,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_28,216.16.71.92,http://vaughn-crosby.com/,Treat newspaper before effect.,"Mozilla/5.0 (Windows 98) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/45.0.894.0 Safari/534.1",500,Slovakia (Slovak Republic),Blind SQLi,5,3,45,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_29,209.217.250.137,http://brooks.info/,Across sort country name.,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/34.0.830.0 Safari/532.0",200,Greece,Blind SQLi,2,1,2,TP,,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_30,166.23.222.190,http://www.gallagher.com/,Machine cultural large miss if.,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/3.1),200,Japan,Stored XSS,6,3,8,TP,Involve increase rest blood sense.,0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ALERT_31,205.142.88.59,https://morrison-anderson.com/,Statement fine protect camera ten.,Mozilla/5.0 (Android 4.3; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0,403,Indonesia,Stored XSS,9,3,3,FP,,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_32,189.237.171.37,https://hebert-williams.com/,Yourself under discover bag.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),500,Mozambique,Blind SQLi,9,1,4,FP,Newspaper could article hear mind military buy decide.,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_33,183.154.118.6,http://www.morgan.com/,Necessary road begin here law run.,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.1),404,Andorra,Blind SQLi,8,3,18,FP,,0,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_34,35.132.116.246,https://www.adams.com/,Almost prove to between bank.,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_9) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/51.0.894.0 Safari/533.2",403,Falkland Islands (Malvinas),Blind SQLi,7,1,56,FP,,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_35,78.172.217.247,http://www.hays.info/,Discuss national tend Democrat.,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/5.0),404,Guernsey,Stored XSS,1,3,7,FP,Side especially listen despite table itself this.,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_36,207.115.60.186,https://case.com/,Data family weight certainly hour strong.,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.1),500,Guinea-Bissau,Blind SQLi,3,3,17,FP,Society sister from pretty.,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_37,38.163.41.199,http://hernandez-thompson.info/,Science service what me again.,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),404,Iraq,Stored XSS,7,1,6,FP,,0,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_38,221.168.54.233,http://burns-moore.biz/,If worry than defense yes concern property.,Opera/8.10.(Windows 95; nan-TW) Presto/2.9.165 Version/12.00,200,Bahrain,Stored XSS,2,3,22,FP,,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_39,217.197.235.84,https://www.bradley.net/,Trip rise population should first manage.,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.1),404,Croatia,Blind SQLi,2,4,9,FP,Pick kitchen third well order hard name clear.,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ALERT_40,161.241.240.16,http://smith-ho.com/,Certain one woman cell return.,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8 rv:6.0; da-DK) AppleWebKit/532.11.1 (KHTML, like Gecko) Version/4.0 Safari/532.11.1",404,Kyrgyz Republic,Blind SQLi,9,4,39,FP,As either perhaps.,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_41,114.170.18.67,https://gonzales.com/,Recent east on cultural.,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4 rv:5.0; nl-NL) AppleWebKit/535.47.7 (KHTML, like Gecko) Version/5.0.4 Safari/535.47.7",200,Turkmenistan,Blind SQLi,6,2,46,FP,,0,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_42,158.215.62.172,https://garza-holland.com/,Structure wide people compare day.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 11.0; Trident/4.1),500,Bahamas,Stored XSS,6,4,54,TP,,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_43,43.74.205.145,https://www.coleman.net/,Share four base car husband must.,"Mozilla/5.0 (iPad; CPU iPad OS 17_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/30.0.811.0 Mobile/91D045 Safari/536.0",500,American Samoa,Blind SQLi,2,2,20,TP,,0,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_44,161.255.132.49,http://www.martin.com/,Teach imagine fire window fact yeah.,"Mozilla/5.0 (iPad; CPU iPad OS 11_4_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/32.0.859.0 Mobile/80X030 Safari/533.2",404,Saint Lucia,Blind SQLi,4,4,29,FP,Him course despite reach claim mother half.,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_45,195.25.56.13,https://williams.net/,Face keep floor whole.,Opera/8.47.(Windows NT 4.0; fr-FR) Presto/2.9.171 Version/12.00,200,Liechtenstein,Stored XSS,7,2,37,FP,Cell wall use financial remember all weight.,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_46,76.96.98.245,http://lee.com/,Billion full somebody quite near.,Opera/8.20.(X11; Linux i686; ts-ZA) Presto/2.9.187 Version/11.00,200,Monaco,Stored XSS,5,1,22,FP,Head upon money analysis relationship magazine floor.,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_47,133.9.232.255,https://www.rodriguez.biz/,Cut parent explain present sense.,"Mozilla/5.0 (Windows 95) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/25.0.898.0 Safari/533.2",200,Papua New Guinea,Stored XSS,6,1,11,FP,,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_48,147.174.175.91,http://lopez.com/,Writer season finish school final everyone way.,"Mozilla/5.0 (Windows 95) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/15.0.875.0 Safari/536.0",500,Isle of Man,Blind SQLi,8,4,50,FP,Dog peace rate.,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_49,222.115.7.3,https://gonzalez.com/,Shoulder send stage or back after everyone.,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_5) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/46.0.803.0 Safari/535.0",404,Burundi,Stored XSS,1,4,4,TP,,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_50,97.200.151.192,http://garcia.com/,Guy argue democratic think hospital.,Opera/8.64.(X11; Linux x86_64; ce-RU) Presto/2.9.170 Version/10.00,500,Honduras,Stored XSS,5,3,4,TP,Television take along everybody cause.,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_51,147.97.149.186,https://www.phillips.com/,Capital left minute shake.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ht-HT) AppleWebKit/531.8.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.8.3",500,Saint Kitts and Nevis,Stored XSS,3,2,33,FP,,0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ALERT_52,96.197.203.99,https://www.james.com/,Wife hand adult candidate read sport win.,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.0),403,Macao,Blind SQLi,4,2,55,FP,Camera garden five.,0,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ALERT_53,176.10.80.107,https://tucker.com/,Above approach sing stage our likely.,"Mozilla/5.0 (iPad; CPU iPad OS 8_4_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/48.0.891.0 Mobile/84I207 Safari/531.2",404,Togo,Stored XSS,2,4,1,FP,Beat forward attention present.,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_54,111.225.151.219,http://francis.com/,Learn than we center price we.,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0; rv:1.9.6.20) Gecko/9069-11-29 23:55:28 Firefox/12.0,404,Monaco,Blind SQLi,9,2,50,TP,Sit marriage minute itself.,0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_55,86.92.191.145,http://www.lawson-mcguire.com/,Particular music item amount hear.,Mozilla/5.0 (Android 12.1; Mobile; rv:21.0) Gecko/21.0 Firefox/21.0,403,Liberia,Stored XSS,9,3,2,FP,Last of body tree American why reflect.,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_56,221.241.50.126,http://www.hanna-patterson.com/,Deep debate positive.,"Mozilla/5.0 (Linux; Android 14) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/32.0.819.0 Safari/536.2",500,Colombia,Stored XSS,3,3,26,TP,Ok police green.,0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALERT_57,123.222.167.213,https://www.irwin-romero.net/,Everything among wear pretty investment economy.,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_8) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/34.0.885.0 Safari/533.2",404,Iraq,Stored XSS,1,3,20,FP,,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_58,106.105.227.244,http://mitchell.net/,Sell sound list my machine because range.,Opera/8.14.(X11; Linux x86_64; cy-GB) Presto/2.9.169 Version/11.00,200,Denmark,Stored XSS,3,3,21,FP,,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_59,101.65.178.63,https://www.rubio.biz/,For plan friend recently accept structure change.,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.1),403,Lao People's Democratic Republic,Blind SQLi,6,2,55,FP,Baby set ago not.,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_60,44.253.45.102,http://barber.net/,Same note again within occur role.,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9; rv:1.9.3.20) Gecko/9963-10-27 05:08:03 Firefox/4.0,500,Kenya,Blind SQLi,9,1,28,TP,,1,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALERT_61,64.253.86.186,http://clark.com/,Table true year message.,Opera/9.20.(X11; Linux x86_64; sw-TZ) Presto/2.9.169 Version/12.00,404,Armenia,Stored XSS,7,1,29,FP,Back similar beautiful example class.,1,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_62,187.87.127.40,http://www.moran.com/,In team leg article will speak.,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),500,Wallis and Futuna,Blind SQLi,8,2,57,FP,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ALERT_63,137.170.27.65,https://vazquez.info/,Now same marriage condition.,Opera/8.56.(X11; Linux i686; cv-RU) Presto/2.9.167 Version/11.00,500,Nicaragua,Stored XSS,9,4,46,FP,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ALERT_64,184.28.224.80,http://www.wolfe.com/,Loss woman stand.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ts-ZA) AppleWebKit/532.38.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6532.38.6",403,Venezuela,Stored XSS,3,4,14,TP,Ago because in season they expect explain.,1,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_65,11.179.241.109,https://taylor.com/,Deal sure care democratic bit.,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.48.2 (KHTML, like Gecko) Version/4.0 Safari/534.48.2",200,Madagascar,Blind SQLi,7,1,16,FP,,1,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_66,116.60.233.57,https://www.thompson.com/,Charge specific discover write full.,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/62.0.839.0 Mobile/28A666 Safari/534.0",403,Central African Republic,Stored XSS,5,3,46,TP,Room bill church happy debate.,1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_67,66.174.51.133,https://martin-martin.com/,Individual result physical produce first not.,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/42.0.894.0 Safari/536.0",200,Antarctica (the territory South of 60 deg S),Blind SQLi,6,4,34,FP,Happy quite line since.,1,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALERT_68,110.197.30.3,https://jackson.com/,Inside something move history economic.,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.1),404,Pitcairn Islands,Stored XSS,1,1,46,FP,,1,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_69,130.143.215.96,https://young.com/,Involve sea PM from nor teach.,Opera/9.11.(X11; Linux i686; id-ID) Presto/2.9.187 Version/11.00,500,Bolivia,Stored XSS,7,1,8,TP,,1,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ALERT_70,91.106.115.27,https://www.castro.com/,Serve often pass position.,Opera/9.25.(Windows NT 5.1; uk-UA) Presto/2.9.187 Version/11.00,200,Romania,Blind SQLi,2,3,59,FP,,1,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALERT_71,8.56.152.169,http://sullivan.com/,Three analysis discuss game station.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; fr-FR) AppleWebKit/534.20.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.20.1",500,Tokelau,Stored XSS,7,4,59,FP,,1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_72,52.233.121.135,https://www.briggs.com/,Player marriage property ground meet pretty.,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1),404,Burkina Faso,Stored XSS,8,2,15,TP,Wonder resource fast.,1,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_73,179.36.1.1,https://garcia-webster.com/,Computer area yes life so performance affect.,Mozilla/5.0 (Android 5.0; Mobile; rv:26.0) Gecko/26.0 Firefox/26.0,404,Solomon Islands,Blind SQLi,9,1,52,TP,Owner certainly book like.,1,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_74,145.55.229.74,http://www.moss.net/,Born wonder rest not girl show draw.,Opera/9.22.(Windows 98; Win 9x 4.90; st-ZA) Presto/2.9.175 Version/10.00,200,Angola,Stored XSS,2,3,46,TP,Threat agent draw prove impact coach.,1,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_75,22.220.84.11,https://rodriguez.com/,Assume pressure address thing feeling.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.1),404,Jersey,Stored XSS,7,2,12,FP,Federal building protect player.,1,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_76,40.91.22.60,https://www.conner-smith.info/,Name party sense city industry major.,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/57.0.827.0 Safari/535.2",500,Faroe Islands,Stored XSS,6,2,3,TP,,1,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ALERT_77,55.156.75.233,http://allen-morales.info/,North specific hair town.,Opera/9.93.(Windows NT 6.0; doi-IN) Presto/2.9.180 Version/10.00,403,Trinidad and Tobago,Blind SQLi,1,4,16,FP,Environmental risk media one system sign top.,1,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_78,30.69.134.180,http://www.fuller-hernandez.info/,Finish compare worry ask pattern camera.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4 rv:6.0; se-NO) AppleWebKit/531.45.2 (KHTML, like Gecko) Version/4.0 Safari/531.45.2",500,British Virgin Islands,Blind SQLi,1,3,44,TP,Decision two mother hear.,1,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ALERT_79,129.208.2.151,https://george.org/,Police establish your evening eat how morning.,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/11.1g6748.0 Mobile/03X582 Safari/531.0",500,Central African Republic,Blind SQLi,3,4,41,FP,Want let left use everything hard color agree.,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_80,22.226.118.230,https://myers.com/,Fund why crime strategy level kid.,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/51.0.869.0 Safari/535.0",403,Seychelles,Stored XSS,8,4,22,FP,,1,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_81,185.231.185.138,http://www.barrett.biz/,Station prevent place new.,Opera/8.13.(Windows NT 6.2; ce-RU) Presto/2.9.183 Version/11.00,404,Burkina Faso,Blind SQLi,3,2,18,TP,Mouth message poor.,1,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_82,129.144.129.244,http://www.jenkins.com/,Address voice alone drug rule like everyone.,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/46.0.841.0 Mobile/62P733 Safari/536.1",500,Cocos (Keeling) Islands,Blind SQLi,9,3,12,FP,,1,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
